id,statement,clean_statement,label,label_binary,subject,speaker,party,job,state,subject_code,party_code,speaker_code,job_code,state_code,statement_length,word_count,has_question,has_exclamation,has_quotes,uppercase_ratio,avg_word_length
7115.json,"For the first time in history, the share of the national popular vote margin is smaller than the Latino vote margin.",for the first time in history the share of the national popular vote margin is smaller than the latino vote margin.,mostly-true,1,elections,robert-menendez,democrat,U.S. Senator,New Jersey,2431,5,2370,941,39,115,21,0,0,0,0.017241379310344827,4.523809523809524
4148.json,"Since 2000, nearly 12 million Americans have slipped out of the middle class and into poverty.",since nearly million americans have slipped out of the middle class and into poverty.,half-true,1,"economy,jobs,new-hampshire-2012,poverty",bernie-s,independent,U.S. Senator,Vermont,2194,10,215,941,66,85,14,0,0,0,0.02127659574468085,5.142857142857143
5947.json,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.",when mitt romney was governor of massachusetts we didnt just slow the rate of growth of our government we actually cut it.,false,0,"history,state-budget",mitt-romney,republican,Former governor,Massachusetts,3250,19,1952,362,28,122,22,0,0,0,0.03225806451612903,4.590909090909091
8616.json,The economy bled $24 billion due to the government shutdown.,the economy bled billion due to the government shutdown.,mostly-true,1,"economy,federal-budget,health-care",doonesbury,none,unknown,unknown,2025,16,788,1176,84,56,9,0,0,0,0.016666666666666666,5.333333333333333
8705.json,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,most of the affordable care act has already in some sense been waived or otherwise suspended.,barely-true,0,health-care,george-will,columnist,Columnist,Maryland,3075,3,1012,200,27,93,16,0,0,0,0.042105263157894736,4.875
10683.json,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",in this last election in november ... percent of the american people chose not to vote ... percent of young people and percent of lowincome workers chose not to vote.,half-true,1,elections,bernie-s,independent,U.S. Senator,Vermont,2431,10,215,941,66,166,30,0,0,0,0.016574585635359115,4.566666666666666
620.json,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,mccain opposed a requirement that the government buy americanmade motorcycles. and he said all buyamerican provisions were quote disgraceful.,true,1,federal-budget,barack-obama,democrat,President,Illinois,2691,5,182,642,19,141,19,0,0,0,0.03424657534246575,6.473684210526316
3863.json,"U.S. Rep. Ron Kind, D-Wis., and his fellow Democrats went on a spending spree and now their credit card is maxed out",u.s. rep. ron kind dwis. and his fellow democrats went on a spending spree and now their credit card is maxed out,barely-true,0,federal-budget,national-republican-congressional-committee,republican,unknown,unknown,2691,19,1998,1176,84,113,22,0,0,0,0.06896551724137931,4.181818181818182
12372.json,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.",water rates in manila philippines were raised up to percent when a subsidiary of the world bank became a partial owner.,half-true,1,"financial-regulation,foreign-policy,water",gwen-moore,democrat,U.S. House member -- 4th District,Wisconsin,2828,5,1076,917,79,119,21,0,0,0,0.04,4.714285714285714
12385.json,"Almost 100,000 people left Puerto Rico last year.",almost people left puerto rico last year.,mostly-true,1,"bankruptcy,economy,population",jack-lew,democrat,Treasury secretary ,"Washington, D.C. ",285,5,1152,909,77,41,7,0,0,0,0.061224489795918366,5.0
10173.json,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,women and men both are making less when you adjust for inflation than when john kitzhaber was first elected governor.,false,0,"economy,income",dennis-richardson,republican,state representative,Oregon,2142,19,734,1164,48,117,20,0,0,0,0.02564102564102564,4.9
9867.json,The United States has the highest corporate tax rate in the free world.,the united states has the highest corporate tax rate in the free world.,mostly-true,1,"corporations,taxes",eric-bolling,none,"Co-host on Fox News Channel's ""The Five""",unknown,1385,16,874,195,84,71,13,0,0,0,0.04225352112676056,4.538461538461538
12408.json,We just had the best year for the auto industry in America in history.,we just had the best year for the auto industry in america in history.,mostly-true,1,economy,hillary-clinton,democrat,Presidential candidate,New York,1975,5,1112,694,41,70,14,0,0,0,0.02857142857142857,4.071428571428571
2673.json,"Says Scott Walker favors cutting up to 350,000 families and children off health care.",says scott walker favors cutting up to families and children off health care.,half-true,1,"health-care,message-machine",greater-wisconsin-political-fund,none,unknown,Wisconsin,3145,16,1061,1176,79,77,13,0,0,0,0.03529411764705882,5.0
7057.json,Says Mitt Romney wants to get rid of Planned Parenthood.,says mitt romney wants to get rid of planned parenthood.,barely-true,0,"abortion,federal-budget,health-care",planned-parenthood-action-fund,none,Advocacy group,"Washington, D.C.",77,16,2200,17,76,56,10,0,0,0,0.08928571428571429,4.7
10215.json,I dont know who (Jonathan Gruber) is.,i dont know who jonathan gruber is.,false,0,health-care,nancy-pelosi,democrat,House Minority Leader,California,3075,5,1982,436,5,35,7,0,0,0,0.08108108108108109,4.142857142857143
12517.json,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,hate crimes against american muslims and mosques have tripled after paris and san bernardino.,mostly-true,1,"crime,diversity,homeland-security,terrorism",hillary-clinton,democrat,Presidential candidate,New York,1603,5,1112,694,41,93,14,0,0,0,0.06451612903225806,5.714285714285714
3910.json,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,rick perry has never lost an election and remains the only person to have won the texas governorship three times in landslide elections.,half-true,1,candidates-biography,ted-nugent,republican,musician,Texas,462,19,2654,1096,62,136,23,0,0,0,0.022058823529411766,4.956521739130435
11092.json,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.",isis supporter tweeted at a.m. shooting began at a.m. in chattanooga tenn.,false,0,"technology,terrorism",pamela-geller,activist,President of American Freedom Defense Intitiative,New York,3799,1,2113,652,41,74,12,0,0,0,0.08045977011494253,5.25
12163.json,Youth unemployment in minority communities is about 40 to 45 percent.,youth unemployment in minority communities is about to percent.,mostly-true,1,"diversity,economy,jobs",peter-kinder,republican,Lieutenant governor,Missouri,1905,19,2175,474,33,63,9,0,0,0,0.014492753623188406,6.111111111111111
13237.json,Says Paul Ryan is still endorsing Trump.,says paul ryan is still endorsing trump.,true,1,"candidates-biography,elections,campaign-advertising",hillary-clinton,democrat,Presidential candidate,New York,584,5,1112,694,41,40,7,0,0,0,0.1,4.857142857142857
5383.json,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.",if you look at states that are right to work they constantly do not have budget deficits and they have very good business climates.,barely-true,0,"economy,labor,states,unions,workers",nicholas-kettle,republican,State senator,Rhode Island,2224,19,2034,870,53,131,24,0,0,0,0.007575757575757576,4.5
9727.json,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,what the obama administration is going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,false,0,"climate-change,energy,environment,government-regulation",shelley-moore-capito,republican,U.S. House of Representative,West Virginia,1139,19,2526,921,78,169,32,0,0,0,0.011695906432748537,4.3125
8239.json,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,we cut business taxes so today percent of our businesses dont pay a business tax.,mostly-true,1,"small-business,taxes",rick-scott,republican,Governor,Florida,3736,19,2332,395,13,81,15,0,0,0,0.011904761904761904,4.466666666666667
10121.json,Says Mark Pryor votes with Obama 93 percent of the time.,says mark pryor votes with obama percent of the time.,mostly-true,1,"bipartisanship,voting-record",tom-cotton,republican,U.S. House of Representatives,Arkansas,357,19,2734,922,3,53,10,0,0,0,0.07142857142857142,4.4
7550.json,We have a federal government that thinks they have the authority to regulate our toilet seats.,we have a federal government that thinks they have the authority to regulate our toilet seats.,true,1,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",ted-cruz,republican,Senator,Texas,1291,19,2649,785,62,94,16,0,0,0,0.010638297872340425,4.9375
9018.json,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,austin is a city that has basically doubled in size every years or so since it was founded.,true,1,"city-government,population",lee-leffingwell,democrat,Austin mayor,Texas,1049,5,1652,57,62,91,18,0,0,0,0.010638297872340425,4.111111111111111
1038.json,"The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.",the nuclear test conducted in our nation this time is the earths th nuclear test. the five permanent members of the u.n. security council have conducted . percent of the total nuclear tests.,true,1,military,north-korea,none,unknown,unknown,3619,16,2057,1176,84,190,33,0,0,0,0.035,4.787878787878788
2940.json,"In the case of a catastrophic event, the Atlanta-area offices of the Centers for Disease Control and Prevention will self-destruct.",in the case of a catastrophic event the atlantaarea offices of the centers for disease control and prevention will selfdestruct.,pants-fire,0,"health-care,pop-culture",walking-dead,none,unknown,unknown,3166,16,2838,1176,84,128,20,0,0,0,0.04580152671755725,5.45
8492.json,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",under president george w. bush we added . trillion to the debt. under president obama weve added . trillion to the debt.,true,1,debt,kelly-ayotte,republican,U.S. Senator,New Hampshire,1785,19,1563,941,37,120,22,0,0,0,0.06299212598425197,4.5
5352.json,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,says a u.s. supreme court justice suggested that some u.s. cases will be decided based on south african law.,false,0,"legal-issues,supreme-court",marco-rubio,republican,U.S. Senator,Florida,3552,19,1743,941,13,108,19,0,0,0,0.08333333333333333,4.7368421052631575
12027.json,Says Marco Rubio skipped 18 defense votes including one to arm the Kurds to fight ISIS.,says marco rubio skipped defense votes including one to arm the kurds to fight isis.,half-true,1,"military,voting-record",keep-promise-1-pac,republican,unknown,unknown,3630,19,1555,1176,84,84,15,0,0,0,0.09195402298850575,4.666666666666667
5210.json,"Rep. David Cicilline is responsible for the federal loan guarantee to Solyndra, the failed solar company",rep. david cicilline is responsible for the federal loan guarantee to solyndra the failed solar company,pants-fire,0,"energy,stimulus",national-republican-congressional-committee,republican,unknown,unknown,2596,19,1998,1176,84,103,16,0,0,0,0.038461538461538464,5.5
7993.json,Says Ohio budget item later signed into law by Gov. John Kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,says ohio budget item later signed into law by gov. john kasich requires women seeking an abortion to undergo a mandatory vaginal probe.,pants-fire,0,"abortion,pundits,women",rachel-maddow,none,MSNBC host,unknown,117,16,2233,484,84,136,23,0,0,0,0.03676470588235294,4.956521739130435
1926.json,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,we have a director of homeland security who cannot use and will not use the term terrorist attack but instead substitutes manmade disaster.,false,0,"homeland-security,terrorism",jerry-patterson,republican,state land commissioner,Texas,3283,19,1277,1161,62,139,23,0,0,0,0.006896551724137931,5.086956521739131
11418.json,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,africanamerican youth unemployment is percent. hispanic youth unemployment is percent.,half-true,1,"diversity,economy,jobs",bernie-s,independent,U.S. Senator,Vermont,1905,10,215,941,66,86,10,0,0,0,0.03225806451612903,7.7
7990.json,"Obamacare will provide insurance to all non-U.S. residents, even if they are here illegally.",obamacare will provide insurance to all nonu.s. residents even if they are here illegally.,pants-fire,0,"health-care,immigration",chain-email,none,unknown,unknown,3090,16,409,1176,84,90,14,0,0,0,0.03260869565217391,5.5
3652.json,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,president barack obama took exactly none of his own deficit reduction commissions ideas. not one.,false,0,"deficit,federal-budget",john-boehner,republican,Speaker of the House of Representatives,Ohio,1849,19,1370,811,46,97,15,0,0,0,0.041237113402061855,5.533333333333333
12848.json,It was under Barack Obama and Hillary Clinton that changed the rules of engagement that probably cost (Capt. Humayun Khans) life.,it was under barack obama and hillary clinton that changed the rules of engagement that probably cost capt. humayun khans life.,pants-fire,0,"iraq,military",katrina-pierson,republican,unknown,unknown,3405,19,1548,1176,84,127,21,0,0,0,0.06201550387596899,5.095238095238095
13503.json,Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.,hillary clinton in cosponsored legislation that would jail flag burners.,true,1,patriotism,blog-posting,none,unknown,unknown,3645,16,272,1176,84,72,10,0,0,0,0.02564102564102564,6.3
4930.json,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,says the paperback edition of mitt romneys book deleted line that massachusetts individual mandate should be the model for the country,barely-true,0,"health-care,states",rick-perry,republican,Governor,Texas,3199,19,2329,395,62,134,21,0,0,0,0.029850746268656716,5.428571428571429
13210.json,"Maggie Hassan raised tuition, making it the highest in America.",maggie hassan raised tuition making it the highest in america.,barely-true,0,education,national-republican-senatorial-committee,republican,unknown,unknown,2311,19,1999,1176,84,62,10,0,0,0,0.047619047619047616,5.3
8187.json,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,says terry mcauliffe is the person who invented the scheme to rent out the lincoln bedroom.,false,0,"campaign-finance,ethics,history",ken-cuccinelli,republican,Attorney General,Virginia,438,19,1569,49,69,91,16,0,0,0,0.06593406593406594,4.75
12758.json,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",we created new jobs we cut the unemployment rate almost in half and today new york state has more private sector jobs than it has ever had in its history,true,1,jobs,andrew-cuomo,democrat,Governor,New York,3458,5,113,395,41,153,30,0,0,0,0.024691358024691357,4.133333333333334
10693.json,"We have towns in West Texas that are out of water, that are having to truck in water.",we have towns in west texas that are out of water that are having to truck in water.,barely-true,0,water,sid-miller,republican,State agriculture commissioner,Texas,3819,19,2536,865,62,84,18,0,0,0,0.03529411764705882,3.7222222222222223
13077.json,"In Georgia, women earn 82 cents for every dollar earned by men.",in georgia women earn cents for every dollar earned by men.,half-true,1,"jobs,women",jim-barksdale,democrat,Senate Candidate,Georgia,3500,5,1285,781,15,59,11,0,0,0,0.031746031746031744,4.454545454545454
3283.json,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,a federal system that verifies employees are authorized to work in the u.s. is inaccurate anywhere from percent all the way up to in excess of percent of the time.,half-true,1,immigration,david-raynor,none,"Senior Vice President, Government Affairs, Georgia Chamber of Commerce",Georgia,3317,16,679,790,15,163,30,0,0,0,0.01775147928994083,4.466666666666667
12981.json,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",they were going to build the wall a while ago not so long ago like in . and they couldnt get environmental impact statements.,barely-true,0,immigration,donald-trump,republican,President-Elect,New York,3317,19,774,693,41,125,24,0,0,0,0.015503875968992248,4.25
812.json,Sen. Obama's campaign announced that he's choosing his cabinet.,sen. obamas campaign announced that hes choosing his cabinet.,false,0,elections,john-mccain,republican,U.S. senator,Arizona,2431,19,1416,949,2,61,9,0,0,0,0.031746031746031744,5.888888888888889
7548.json,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.",in only percent of latinos in texas were registered to vote and only percent actually turned out.,mostly-true,1,"elections,population",battleground-texas,democrat,unknown,Texas,2498,5,200,1176,62,97,17,0,0,0,0.027522935779816515,4.764705882352941
6000.json,Only 2 percent of public high schools in the country offer PE classes.,only percent of public high schools in the country offer pe classes.,false,0,"education,health-care",michelle-obama,democrat,unknown,Illinois,2349,5,1898,1176,19,68,12,0,0,0,0.04285714285714286,4.75
321.json,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",said hes the only republican candidate whos actually turned around a government economy.,mostly-true,1,job-accomplishments,rudy-giuliani,republican,Attorney,New York,3423,19,2427,48,41,88,13,0,0,1,0.021739130434782608,5.846153846153846
1779.json,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""",on military recruiters at harvard elena kagan took a position and the supreme court ruled unanimously that she was wrong.,true,1,"education,gays-and-lesbians,kagan-nomination,military,supreme-court",john-barrasso,republican,Senator,Wyoming,2337,19,1367,785,81,121,20,0,0,1,0.04838709677419355,5.1
1833.json,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.",there are public school teachers in texas. and there are nonteachers in our public schools.,mostly-true,1,"education,message-machine,taxes",empower-texans,none,unknown,Texas,2389,16,866,1176,62,91,15,0,0,0,0.027777777777777776,5.133333333333334
8584.json,"Under Mayor Cicilline, [Providence] was a sanctuary city.",under mayor cicilline providence was a sanctuary city.,false,0,"history,homeland-security,immigration,legal-issues,pundits",john-depetro,talk-show-host,Talk-show host,Rhode Island,3214,21,1385,880,53,54,8,0,0,0,0.07017543859649122,5.875
10829.json,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,transgender individuals in the u.s. have a in chance of being murdered.,pants-fire,0,"corrections-and-updates,crime,criminal-justice,sexuality",garnet-coleman,democrat,"president, ceo of Apartments for America, Inc.",Texas,1394,5,980,1130,62,71,12,0,0,0,0.039473684210526314,5.0
6612.json,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.",at bain capital we helped start an early childhood learning company called bright horizons that first lady michelle obama rightly praised.,true,1,"candidates-biography,job-accomplishments",mitt-romney,republican,Former governor,Massachusetts,672,19,1952,362,28,138,21,0,0,0,0.06474820143884892,5.619047619047619
12056.json,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.",says the man who rushed the stage at him in dayton ohio had chatter about isis or with isis in his social media posts.,false,0,"civil-rights,elections,terrorism",donald-trump,republican,President-Elect,New York,1092,19,774,693,41,118,24,0,0,0,0.09090909090909091,3.9583333333333335
6161.json,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,u.s. rep. phil gingrey gave the government the power to electronically spy on americans without a warrant.,barely-true,0,"criminal-justice,terrorism",michael-opitz,republican,unknown,Georgia,1742,19,1877,1176,15,106,17,0,0,0,0.05660377358490566,5.294117647058823
2526.json,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,alex sink funneled three quarters of a million dollars in nobid contracts to bank of america.,barely-true,0,"economy,financial-regulation,message-machine",rick-scott,republican,Governor,Florida,2059,19,2332,395,13,93,16,0,0,0,0.0425531914893617,4.875
3786.json,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",if you take the population growth here in virginia we are net zero on job creation since bob mcdonnell became governor.,true,1,jobs,terry-mcauliffe,democrat,Governor,Virginia,3458,5,2669,395,69,119,21,0,0,0,0.040983606557377046,4.714285714285714
6697.json,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.",under obama home values in florida collapsed construction jobs were lost and the state had a high foreclosure rate.,barely-true,0,"housing,message-machine-2012",mitt-romney,republican,Former governor,Massachusetts,3294,19,1952,362,28,115,19,0,0,0,0.02564102564102564,5.105263157894737
1738.json,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""",the new arizona immigration law says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.,mostly-true,1,"immigration,legal-issues",alfredo-gutierrez,democrat,Former state Senator,Arizona,3322,5,49,369,2,157,26,0,0,1,0.012578616352201259,5.076923076923077
7425.json,The only time in our history when the debt has been higher than this was the end of World War II.,the only time in our history when the debt has been higher than this was the end of world war ii.,mostly-true,1,debt,david-cote,none,President and CEO of Honeywell International,unknown,1785,16,660,645,84,97,21,0,0,0,0.05154639175257732,3.6666666666666665
10039.json,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,the cost of health care is now the singlebiggest factor driving down the federal budget deficit.,mostly-true,1,"deficit,federal-budget,health-care",barack-obama,democrat,President,Illinois,1853,5,182,642,19,96,16,0,0,0,0.010309278350515464,5.0625
2166.json,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.",during the recession the consumer in his native perversity has begun to save. the savings rate is now . percent.,true,1,"economy,abc-news-week",george-will,columnist,Columnist,Maryland,1976,3,1012,200,27,112,20,0,0,0,0.017391304347826087,4.65
1978.json,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,on whether a u.s. supreme court nominee should be forthcoming at confirmation hearings.,false,0,"kagan-nomination,supreme-court",elena-kagan,democrat,U.S. solicitor general,New York,3507,5,844,951,41,87,13,0,0,0,0.05747126436781609,5.769230769230769
3005.json,Says one out of three U.S. homeless men is a veteran.,says one out of three u.s. homeless men is a veteran.,barely-true,0,"poverty,veterans",texas-veterans-commission,none,unknown,unknown,3675,16,2690,1176,84,53,11,0,0,0,0.05660377358490566,3.909090909090909
9165.json,Says Charlie Crist supports cuts to the Medicare Advantage program.,says charlie crist supports cuts to the medicare advantage program.,false,0,"health-care,medicare",republican-party-florida,republican,unknown,unknown,3130,19,2282,1176,84,67,10,0,0,0,0.07462686567164178,5.8
2109.json,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,i think it is unacceptable for the chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of europe put together forget the united states.,half-true,1,energy,maurice-ferre,democrat,Former mayor of Miami,Florida,2518,5,1835,367,13,184,32,0,0,0,0.026737967914438502,4.78125
10053.json,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,says scott brown cosponsored legislation to let employers deny women coverage for birth control.,true,1,"health-care,legal-issues,women",jeanne-shaheen,democrat,Senator,New Hampshire,3114,5,1229,785,37,96,14,0,0,0,0.030927835051546393,5.928571428571429
9613.json,"At some point in their lives, 99% of women use birth control.",at some point in their lives of women use birth control.,half-true,1,sexuality,susan-happ,democrat,Jefferson County District Attorney,Wisconsin,3732,5,2628,452,79,56,11,0,0,0,0.01639344262295082,4.181818181818182
3146.json,"In the past 20 years, Egypt has made great strides in political and democratic reform.",in the past years egypt has made great strides in political and democratic reform.,false,0,"foreign-policy,abc-news-week",sameh-shoukry,none,unknown,unknown,2864,16,2455,1176,84,82,14,0,0,0,0.023255813953488372,4.928571428571429
8755.json,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,the amount of attention paid this week to chris christie makes the coverage of benghazi ... pale in significance.,false,0,"terrorism,transportation",karl-rove,republican,unknown,Texas,3803,19,1527,1176,62,113,19,0,0,0,0.035398230088495575,5.0
9989.json,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,says u.s. rep. steve southerland voted to keep the shutdown going.,true,1,federal-budget,gwen-graham,democrat,unknown,Florida,2691,5,1075,1176,13,66,11,0,0,0,0.09090909090909091,5.090909090909091
2044.json,"In Rick Perrys Texas, we import nurses ... from other countries.",in rick perrys texas we import nurses ... from other countries.,half-true,1,health-care,bill-white,democrat,Former mayor of Houston,Texas,3075,5,263,366,62,63,11,0,0,0,0.0625,4.818181818181818
11657.json,There is a federal criminal law that says its a crime to transport dentures across state lines.,there is a federal criminal law that says its a crime to transport dentures across state lines.,mostly-true,1,public-health,bob-goodlatte,republican,U.S. Congressman,Virginia,3682,19,284,913,69,95,17,0,0,0,0.010526315789473684,4.647058823529412
11131.json,We built a new prison every 10 days between 1990 and 2005 to keep up with our mass incarceration explosion of nonviolent offenders.,we built a new prison every days between and to keep up with our mass incarceration explosion of nonviolent offenders.,mostly-true,1,"crime,criminal-justice",cory-booker,democrat,U.S. senator,New Jersey,1549,5,571,949,39,118,20,0,0,0,0.007633587786259542,4.95
767.json,"Sen. McCain's tax plan provides ""virtually nothing to the middle class.""",sen. mccains tax plan provides virtually nothing to the middle class.,barely-true,0,taxes,joe-biden,democrat,U.S. senator,Delaware,3788,5,1335,949,11,69,11,0,0,1,0.041666666666666664,5.363636363636363
10263.json,Austin is burdened by the fastest-growing tax increases of any major city in the nation.,austin is burdened by the fastestgrowing tax increases of any major city in the nation.,false,0,"city-budget,city-government,taxes",jim-skaggs,none,"Treasurer, Citizens Against Rail Taxes",Texas,961,16,1315,908,62,87,15,0,0,0,0.011363636363636364,4.866666666666666
1969.json,"Phoenix, Arizona, is the No. 2 kidnapping capital of the world.",phoenix arizona is the no. kidnapping capital of the world.,false,0,immigration,john-mccain,republican,U.S. senator,Arizona,3317,19,1416,949,2,59,10,0,0,0,0.047619047619047616,5.0
10386.json,I belong to the AFL-CIO.,i belong to the aflcio.,true,1,"candidates-biography,labor",rick-perry,republican,Governor,Texas,679,19,2329,395,62,23,5,0,0,0,0.2916666666666667,3.8
2020.json,The insurance commissioner cant do squat about health care.,the insurance commissioner cant do squat about health care.,mostly-true,1,health-care,ralph-hudgens,republican,unknown,Georgia,3075,19,2238,1176,15,59,9,0,0,0,0.01694915254237288,5.666666666666667
4264.json,Says a poll found him the only Republican candidate who could beat Barack Obama in Texas -- and by eight points.,says a poll found him the only republican candidate who could beat barack obama in texas and by eight points.,half-true,1,polls,mitt-romney,republican,Former governor,Massachusetts,3655,19,1952,362,28,109,20,0,0,0,0.044642857142857144,4.5
